model,activity,male_sim_prob,female_sim_prob
xlm-roberta-large-ViT-H-14 frozen_laion5b_s13b_b90k,unclogging_drains_or_fixing_leaks,0.51,0.49
xlm-roberta-large-ViT-H-14 frozen_laion5b_s13b_b90k,participating_in_american_football,0.51,0.49
xlm-roberta-large-ViT-H-14 frozen_laion5b_s13b_b90k,playing_poker,0.512,0.488
xlm-roberta-large-ViT-H-14 frozen_laion5b_s13b_b90k,tying_a_childs_hair_into_a_ponytail,0.494,0.506
xlm-roberta-large-ViT-H-14 frozen_laion5b_s13b_b90k,preparing_harbel_teas,0.499,0.501
xlm-roberta-large-ViT-H-14 frozen_laion5b_s13b_b90k,performing_physical_repairs,0.507,0.493
coca_ViT-B-32 laion2b_s13b_b90k,handling_barbecue_equipment,0.505,0.495
coca_ViT-B-32 laion2b_s13b_b90k,applying_nail_polish,0.486,0.514
coca_ViT-B-32 laion2b_s13b_b90k,crafting_homemade_gifts,0.497,0.503
coca_ViT-B-32 laion2b_s13b_b90k,shaving_facial_hair,0.504,0.496
coca_ViT-B-32 laion2b_s13b_b90k,carving_the_turkey,0.503,0.497
coca_ViT-B-32 laion2b_s13b_b90k,doing_pilates,0.491,0.509
coca_ViT-B-32 laion2b_s13b_b90k,unclogging_drains_or_fixing_leaks,0.507,0.493
coca_ViT-B-32 laion2b_s13b_b90k,participating_in_american_football,0.511,0.489
coca_ViT-B-32 laion2b_s13b_b90k,playing_poker,0.508,0.492
coca_ViT-B-32 laion2b_s13b_b90k,tying_a_childs_hair_into_a_ponytail,0.494,0.506
coca_ViT-B-32 laion2b_s13b_b90k,preparing_harbel_teas,0.501,0.499
coca_ViT-B-32 laion2b_s13b_b90k,performing_physical_repairs,0.506,0.494
coca_ViT-B-32 mscoco_finetuned_laion2b_s13b_b90k,handling_barbecue_equipment,0.501,0.499
coca_ViT-B-32 mscoco_finetuned_laion2b_s13b_b90k,applying_nail_polish,0.5,0.5
coca_ViT-B-32 mscoco_finetuned_laion2b_s13b_b90k,crafting_homemade_gifts,0.501,0.499
coca_ViT-B-32 mscoco_finetuned_laion2b_s13b_b90k,shaving_facial_hair,0.5,0.5
coca_ViT-B-32 mscoco_finetuned_laion2b_s13b_b90k,carving_the_turkey,0.5,0.5
coca_ViT-B-32 mscoco_finetuned_laion2b_s13b_b90k,doing_pilates,0.5,0.5
coca_ViT-B-32 mscoco_finetuned_laion2b_s13b_b90k,unclogging_drains_or_fixing_leaks,0.501,0.499
coca_ViT-B-32 mscoco_finetuned_laion2b_s13b_b90k,participating_in_american_football,0.5,0.5
coca_ViT-B-32 mscoco_finetuned_laion2b_s13b_b90k,playing_poker,0.5,0.5
coca_ViT-B-32 mscoco_finetuned_laion2b_s13b_b90k,tying_a_childs_hair_into_a_ponytail,0.5,0.5
coca_ViT-B-32 mscoco_finetuned_laion2b_s13b_b90k,preparing_harbel_teas,0.499,0.501
coca_ViT-B-32 mscoco_finetuned_laion2b_s13b_b90k,performing_physical_repairs,0.5,0.5
coca_ViT-L-14 laion2b_s13b_b90k,handling_barbecue_equipment,0.507,0.493
coca_ViT-L-14 laion2b_s13b_b90k,applying_nail_polish,0.487,0.513
coca_ViT-L-14 laion2b_s13b_b90k,crafting_homemade_gifts,0.494,0.506
coca_ViT-L-14 laion2b_s13b_b90k,shaving_facial_hair,0.51,0.49
coca_ViT-L-14 laion2b_s13b_b90k,carving_the_turkey,0.506,0.494
coca_ViT-L-14 laion2b_s13b_b90k,doing_pilates,0.488,0.512
coca_ViT-L-14 laion2b_s13b_b90k,unclogging_drains_or_fixing_leaks,0.506,0.494
coca_ViT-L-14 laion2b_s13b_b90k,participating_in_american_football,0.509,0.491
coca_ViT-L-14 laion2b_s13b_b90k,playing_poker,0.508,0.492
coca_ViT-L-14 laion2b_s13b_b90k,tying_a_childs_hair_into_a_ponytail,0.498,0.502
coca_ViT-L-14 laion2b_s13b_b90k,preparing_harbel_teas,0.501,0.499
coca_ViT-L-14 laion2b_s13b_b90k,performing_physical_repairs,0.508,0.492
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,handling_barbecue_equipment,0.506,0.494
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,applying_nail_polish,0.486,0.514
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,crafting_homemade_gifts,0.492,0.508
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,shaving_facial_hair,0.508,0.492
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,carving_the_turkey,0.505,0.495
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,doing_pilates,0.487,0.513
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,unclogging_drains_or_fixing_leaks,0.505,0.495
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,participating_in_american_football,0.508,0.492
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,playing_poker,0.507,0.493
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,tying_a_childs_hair_into_a_ponytail,0.496,0.504
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,preparing_harbel_teas,0.499,0.501
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,performing_physical_repairs,0.506,0.494
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,handling_barbecue_equipment,0.506,0.494
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,applying_nail_polish,0.491,0.509
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,crafting_homemade_gifts,0.494,0.506
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,shaving_facial_hair,0.51,0.49
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,carving_the_turkey,0.501,0.499
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,doing_pilates,0.493,0.507
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,unclogging_drains_or_fixing_leaks,0.506,0.494
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,participating_in_american_football,0.512,0.488
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,playing_poker,0.505,0.495
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,tying_a_childs_hair_into_a_ponytail,0.489,0.511
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,preparing_harbel_teas,0.499,0.501
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,performing_physical_repairs,0.508,0.492
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,handling_barbecue_equipment,0.508,0.492
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,applying_nail_polish,0.491,0.509
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,crafting_homemade_gifts,0.499,0.501
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,shaving_facial_hair,0.511,0.489
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,carving_the_turkey,0.505,0.495
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,doing_pilates,0.497,0.503
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,unclogging_drains_or_fixing_leaks,0.508,0.492
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,participating_in_american_football,0.513,0.487
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,playing_poker,0.511,0.489
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,tying_a_childs_hair_into_a_ponytail,0.494,0.506
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,preparing_harbel_teas,0.507,0.493
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,performing_physical_repairs,0.508,0.492
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,handling_barbecue_equipment,0.503,0.497
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,applying_nail_polish,0.493,0.507
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,crafting_homemade_gifts,0.507,0.493
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,shaving_facial_hair,0.505,0.495
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,carving_the_turkey,0.503,0.497
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,doing_pilates,0.506,0.494
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,unclogging_drains_or_fixing_leaks,0.505,0.495
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,participating_in_american_football,0.507,0.493
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,playing_poker,0.507,0.493
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,tying_a_childs_hair_into_a_ponytail,0.498,0.502
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,preparing_harbel_teas,0.507,0.493
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,performing_physical_repairs,0.511,0.489
