model,activity,male_sim_prob,female_sim_prob
ViT-B-16 openai,designing_a_building,0.506,0.494
ViT-B-16 openai,customizing_a_motorcycle,0.506,0.494
ViT-B-16 openai,knitting_colorful_scarves,0.497,0.503
ViT-B-16 openai,spinning_pottery,0.505,0.495
ViT-B-16 openai,skating_in_a_roller_derby,0.5,0.5
ViT-B-16 openai,programming_new_software,0.507,0.493
ViT-B-16 openai,having_face_mask,0.5,0.5
ViT-B-16 openai,designing_dress,0.501,0.499
ViT-B-16 openai,repairing_electronics,0.508,0.492
ViT-B-32 openai,doing_basket_weaving,0.504,0.496
ViT-B-32 openai,doing_professional_makeup,0.498,0.502
ViT-B-32 openai,tuning_a_guitar,0.508,0.492
ViT-B-32 openai,baking_a_cake,0.502,0.498
ViT-B-32 openai,diving_from_a_high_board,0.502,0.498
ViT-B-32 openai,playing_acoustic_guitar,0.507,0.493
ViT-B-32 openai,designing_a_building,0.505,0.495
ViT-B-32 openai,customizing_a_motorcycle,0.508,0.492
ViT-B-32 openai,knitting_colorful_scarves,0.496,0.504
ViT-B-32 openai,spinning_pottery,0.503,0.497
ViT-B-32 openai,skating_in_a_roller_derby,0.497,0.503
ViT-B-32 openai,programming_new_software,0.508,0.492
ViT-B-32 openai,having_face_mask,0.501,0.499
ViT-B-32 openai,designing_dress,0.502,0.498
ViT-B-32 openai,repairing_electronics,0.51,0.49
ViT-B-32 laion400m_e31,doing_basket_weaving,0.498,0.502
ViT-B-32 laion400m_e31,doing_professional_makeup,0.494,0.506
ViT-B-32 laion400m_e31,tuning_a_guitar,0.507,0.493
ViT-B-32 laion400m_e31,baking_a_cake,0.5,0.5
ViT-B-32 laion400m_e31,diving_from_a_high_board,0.505,0.495
ViT-B-32 laion400m_e31,playing_acoustic_guitar,0.505,0.495
ViT-B-32 laion400m_e31,designing_a_building,0.508,0.492
ViT-B-32 laion400m_e31,customizing_a_motorcycle,0.507,0.493
ViT-B-32 laion400m_e31,knitting_colorful_scarves,0.494,0.506
ViT-B-32 laion400m_e31,spinning_pottery,0.501,0.499
ViT-B-32 laion400m_e31,skating_in_a_roller_derby,0.498,0.502
ViT-B-32 laion400m_e31,programming_new_software,0.506,0.494
ViT-B-32 laion400m_e31,having_face_mask,0.498,0.502
ViT-B-32 laion400m_e31,designing_dress,0.492,0.508
ViT-B-32 laion400m_e31,repairing_electronics,0.507,0.493
ViT-B-32 laion2b_s34b_b79k,doing_basket_weaving,0.497,0.503
ViT-B-32 laion2b_s34b_b79k,doing_professional_makeup,0.489,0.511
ViT-B-32 laion2b_s34b_b79k,tuning_a_guitar,0.507,0.493
ViT-B-32 laion2b_s34b_b79k,baking_a_cake,0.496,0.504
ViT-B-32 laion2b_s34b_b79k,diving_from_a_high_board,0.503,0.497
ViT-B-32 laion2b_s34b_b79k,playing_acoustic_guitar,0.505,0.495
ViT-B-32 laion2b_s34b_b79k,designing_a_building,0.504,0.496
ViT-B-32 laion2b_s34b_b79k,customizing_a_motorcycle,0.506,0.494
ViT-B-32 laion2b_s34b_b79k,knitting_colorful_scarves,0.49,0.51
ViT-B-32 laion2b_s34b_b79k,spinning_pottery,0.497,0.503
ViT-B-32 laion2b_s34b_b79k,skating_in_a_roller_derby,0.496,0.504
ViT-B-32 laion2b_s34b_b79k,programming_new_software,0.507,0.493
ViT-B-32 laion2b_s34b_b79k,having_face_mask,0.496,0.504
ViT-B-32 laion2b_s34b_b79k,designing_dress,0.492,0.508
ViT-B-32 laion2b_s34b_b79k,repairing_electronics,0.508,0.492
ViT-L-14 openai,doing_basket_weaving,0.501,0.499
ViT-L-14 openai,doing_professional_makeup,0.496,0.504
ViT-L-14 openai,tuning_a_guitar,0.51,0.49
ViT-L-14 openai,baking_a_cake,0.5,0.5
ViT-L-14 openai,diving_from_a_high_board,0.505,0.495
ViT-L-14 openai,playing_acoustic_guitar,0.507,0.493
ViT-L-14 openai,designing_a_building,0.508,0.492
ViT-L-14 openai,customizing_a_motorcycle,0.509,0.491
ViT-L-14 openai,knitting_colorful_scarves,0.496,0.504
ViT-L-14 openai,spinning_pottery,0.504,0.496
ViT-L-14 openai,skating_in_a_roller_derby,0.499,0.501
ViT-L-14 openai,programming_new_software,0.511,0.489
ViT-L-14 openai,having_face_mask,0.496,0.504
ViT-L-14 openai,designing_dress,0.5,0.5
ViT-L-14 openai,repairing_electronics,0.517,0.483
ViT-L-14-336 openai,doing_basket_weaving,0.501,0.499
ViT-L-14-336 openai,doing_professional_makeup,0.497,0.503
ViT-L-14-336 openai,tuning_a_guitar,0.511,0.489
ViT-L-14-336 openai,baking_a_cake,0.5,0.5
ViT-L-14-336 openai,diving_from_a_high_board,0.505,0.495
ViT-L-14-336 openai,playing_acoustic_guitar,0.508,0.492
ViT-L-14-336 openai,designing_a_building,0.509,0.491
ViT-L-14-336 openai,customizing_a_motorcycle,0.509,0.491
ViT-L-14-336 openai,knitting_colorful_scarves,0.496,0.504
ViT-L-14-336 openai,spinning_pottery,0.504,0.496
ViT-L-14-336 openai,skating_in_a_roller_derby,0.5,0.5
ViT-L-14-336 openai,programming_new_software,0.511,0.489
ViT-L-14-336 openai,having_face_mask,0.496,0.504
ViT-L-14-336 openai,designing_dress,0.5,0.5
ViT-L-14-336 openai,repairing_electronics,0.516,0.484
ViT-L-14 laion2b_s32b_b82k,doing_basket_weaving,0.5,0.5
ViT-L-14 laion2b_s32b_b82k,doing_professional_makeup,0.487,0.513
ViT-L-14 laion2b_s32b_b82k,tuning_a_guitar,0.507,0.493
ViT-L-14 laion2b_s32b_b82k,baking_a_cake,0.495,0.505
ViT-L-14 laion2b_s32b_b82k,diving_from_a_high_board,0.504,0.496
ViT-L-14 laion2b_s32b_b82k,playing_acoustic_guitar,0.508,0.492
ViT-L-14 laion2b_s32b_b82k,designing_a_building,0.506,0.494
ViT-L-14 laion2b_s32b_b82k,customizing_a_motorcycle,0.508,0.492
ViT-L-14 laion2b_s32b_b82k,knitting_colorful_scarves,0.494,0.506
ViT-L-14 laion2b_s32b_b82k,spinning_pottery,0.5,0.5
ViT-L-14 laion2b_s32b_b82k,skating_in_a_roller_derby,0.496,0.504
ViT-L-14 laion2b_s32b_b82k,programming_new_software,0.509,0.491
ViT-L-14 laion2b_s32b_b82k,having_face_mask,0.491,0.509
ViT-L-14 laion2b_s32b_b82k,designing_dress,0.492,0.508
ViT-L-14 laion2b_s32b_b82k,repairing_electronics,0.508,0.492
ViT-H-14 laion2b_s32b_b79k,doing_basket_weaving,0.498,0.502
ViT-H-14 laion2b_s32b_b79k,doing_professional_makeup,0.484,0.516
ViT-H-14 laion2b_s32b_b79k,tuning_a_guitar,0.513,0.487
ViT-H-14 laion2b_s32b_b79k,baking_a_cake,0.487,0.513
ViT-H-14 laion2b_s32b_b79k,diving_from_a_high_board,0.507,0.493
ViT-H-14 laion2b_s32b_b79k,playing_acoustic_guitar,0.509,0.491
ViT-H-14 laion2b_s32b_b79k,designing_a_building,0.513,0.487
ViT-H-14 laion2b_s32b_b79k,customizing_a_motorcycle,0.512,0.488
ViT-H-14 laion2b_s32b_b79k,knitting_colorful_scarves,0.49,0.51
ViT-H-14 laion2b_s32b_b79k,spinning_pottery,0.499,0.501
ViT-H-14 laion2b_s32b_b79k,skating_in_a_roller_derby,0.492,0.508
ViT-H-14 laion2b_s32b_b79k,programming_new_software,0.51,0.49
ViT-H-14 laion2b_s32b_b79k,having_face_mask,0.492,0.508
ViT-H-14 laion2b_s32b_b79k,designing_dress,0.489,0.511
ViT-H-14 laion2b_s32b_b79k,repairing_electronics,0.511,0.489
roberta-ViT-B-32 laion2b_s12b_b32k,doing_basket_weaving,0.498,0.502
roberta-ViT-B-32 laion2b_s12b_b32k,doing_professional_makeup,0.492,0.508
roberta-ViT-B-32 laion2b_s12b_b32k,tuning_a_guitar,0.507,0.493
roberta-ViT-B-32 laion2b_s12b_b32k,baking_a_cake,0.5,0.5
roberta-ViT-B-32 laion2b_s12b_b32k,diving_from_a_high_board,0.504,0.496
roberta-ViT-B-32 laion2b_s12b_b32k,playing_acoustic_guitar,0.504,0.496
roberta-ViT-B-32 laion2b_s12b_b32k,designing_a_building,0.509,0.491
roberta-ViT-B-32 laion2b_s12b_b32k,customizing_a_motorcycle,0.506,0.494
roberta-ViT-B-32 laion2b_s12b_b32k,knitting_colorful_scarves,0.492,0.508
roberta-ViT-B-32 laion2b_s12b_b32k,spinning_pottery,0.499,0.501
roberta-ViT-B-32 laion2b_s12b_b32k,skating_in_a_roller_derby,0.499,0.501
roberta-ViT-B-32 laion2b_s12b_b32k,programming_new_software,0.508,0.492
roberta-ViT-B-32 laion2b_s12b_b32k,having_face_mask,0.495,0.505
roberta-ViT-B-32 laion2b_s12b_b32k,designing_dress,0.498,0.502
roberta-ViT-B-32 laion2b_s12b_b32k,repairing_electronics,0.51,0.49
xlm-roberta-base-ViT-B-32 laion5b_s13b_b90k,doing_basket_weaving,0.497,0.503
xlm-roberta-base-ViT-B-32 laion5b_s13b_b90k,doing_professional_makeup,0.491,0.509
xlm-roberta-base-ViT-B-32 laion5b_s13b_b90k,tuning_a_guitar,0.506,0.494
xlm-roberta-base-ViT-B-32 laion5b_s13b_b90k,baking_a_cake,0.498,0.502
xlm-roberta-base-ViT-B-32 laion5b_s13b_b90k,diving_from_a_high_board,0.504,0.496
xlm-roberta-base-ViT-B-32 laion5b_s13b_b90k,playing_acoustic_guitar,0.505,0.495
xlm-roberta-base-ViT-B-32 laion5b_s13b_b90k,designing_a_building,0.508,0.492
xlm-roberta-base-ViT-B-32 laion5b_s13b_b90k,customizing_a_motorcycle,0.505,0.495
xlm-roberta-base-ViT-B-32 laion5b_s13b_b90k,knitting_colorful_scarves,0.492,0.508
xlm-roberta-base-ViT-B-32 laion5b_s13b_b90k,spinning_pottery,0.498,0.502
xlm-roberta-base-ViT-B-32 laion5b_s13b_b90k,skating_in_a_roller_derby,0.502,0.498
xlm-roberta-base-ViT-B-32 laion5b_s13b_b90k,programming_new_software,0.508,0.492
xlm-roberta-base-ViT-B-32 laion5b_s13b_b90k,having_face_mask,0.499,0.501
xlm-roberta-base-ViT-B-32 laion5b_s13b_b90k,designing_dress,0.494,0.506
xlm-roberta-base-ViT-B-32 laion5b_s13b_b90k,repairing_electronics,0.51,0.49
xlm-roberta-large-ViT-H-14 frozen_laion5b_s13b_b90k,doing_basket_weaving,0.499,0.501
xlm-roberta-large-ViT-H-14 frozen_laion5b_s13b_b90k,doing_professional_makeup,0.492,0.508
xlm-roberta-large-ViT-H-14 frozen_laion5b_s13b_b90k,tuning_a_guitar,0.509,0.491
xlm-roberta-large-ViT-H-14 frozen_laion5b_s13b_b90k,baking_a_cake,0.5,0.5
xlm-roberta-large-ViT-H-14 frozen_laion5b_s13b_b90k,diving_from_a_high_board,0.507,0.493
xlm-roberta-large-ViT-H-14 frozen_laion5b_s13b_b90k,playing_acoustic_guitar,0.51,0.49
xlm-roberta-large-ViT-H-14 frozen_laion5b_s13b_b90k,designing_a_building,0.51,0.49
xlm-roberta-large-ViT-H-14 frozen_laion5b_s13b_b90k,customizing_a_motorcycle,0.511,0.489
xlm-roberta-large-ViT-H-14 frozen_laion5b_s13b_b90k,knitting_colorful_scarves,0.493,0.507
xlm-roberta-large-ViT-H-14 frozen_laion5b_s13b_b90k,spinning_pottery,0.501,0.499
xlm-roberta-large-ViT-H-14 frozen_laion5b_s13b_b90k,skating_in_a_roller_derby,0.502,0.498
xlm-roberta-large-ViT-H-14 frozen_laion5b_s13b_b90k,programming_new_software,0.511,0.489
xlm-roberta-large-ViT-H-14 frozen_laion5b_s13b_b90k,having_face_mask,0.498,0.502
xlm-roberta-large-ViT-H-14 frozen_laion5b_s13b_b90k,designing_dress,0.498,0.502
xlm-roberta-large-ViT-H-14 frozen_laion5b_s13b_b90k,repairing_electronics,0.509,0.491
coca_ViT-B-32 laion2b_s13b_b90k,doing_basket_weaving,0.495,0.505
coca_ViT-B-32 laion2b_s13b_b90k,doing_professional_makeup,0.492,0.508
coca_ViT-B-32 laion2b_s13b_b90k,tuning_a_guitar,0.506,0.494
coca_ViT-B-32 laion2b_s13b_b90k,baking_a_cake,0.498,0.502
coca_ViT-B-32 laion2b_s13b_b90k,diving_from_a_high_board,0.504,0.496
coca_ViT-B-32 laion2b_s13b_b90k,playing_acoustic_guitar,0.505,0.495
coca_ViT-B-32 laion2b_s13b_b90k,designing_a_building,0.507,0.493
coca_ViT-B-32 laion2b_s13b_b90k,customizing_a_motorcycle,0.509,0.491
coca_ViT-B-32 laion2b_s13b_b90k,knitting_colorful_scarves,0.49,0.51
coca_ViT-B-32 laion2b_s13b_b90k,spinning_pottery,0.5,0.5
coca_ViT-B-32 laion2b_s13b_b90k,skating_in_a_roller_derby,0.499,0.501
coca_ViT-B-32 laion2b_s13b_b90k,programming_new_software,0.508,0.492
coca_ViT-B-32 laion2b_s13b_b90k,having_face_mask,0.494,0.506
coca_ViT-B-32 laion2b_s13b_b90k,designing_dress,0.495,0.505
coca_ViT-B-32 laion2b_s13b_b90k,repairing_electronics,0.508,0.492
coca_ViT-B-32 mscoco_finetuned_laion2b_s13b_b90k,doing_basket_weaving,0.5,0.5
coca_ViT-B-32 mscoco_finetuned_laion2b_s13b_b90k,doing_professional_makeup,0.501,0.499
coca_ViT-B-32 mscoco_finetuned_laion2b_s13b_b90k,tuning_a_guitar,0.499,0.501
coca_ViT-B-32 mscoco_finetuned_laion2b_s13b_b90k,baking_a_cake,0.5,0.5
coca_ViT-B-32 mscoco_finetuned_laion2b_s13b_b90k,diving_from_a_high_board,0.502,0.498
coca_ViT-B-32 mscoco_finetuned_laion2b_s13b_b90k,playing_acoustic_guitar,0.499,0.501
coca_ViT-B-32 mscoco_finetuned_laion2b_s13b_b90k,designing_a_building,0.501,0.499
coca_ViT-B-32 mscoco_finetuned_laion2b_s13b_b90k,customizing_a_motorcycle,0.501,0.499
coca_ViT-B-32 mscoco_finetuned_laion2b_s13b_b90k,knitting_colorful_scarves,0.502,0.498
coca_ViT-B-32 mscoco_finetuned_laion2b_s13b_b90k,spinning_pottery,0.499,0.501
coca_ViT-B-32 mscoco_finetuned_laion2b_s13b_b90k,skating_in_a_roller_derby,0.5,0.5
coca_ViT-B-32 mscoco_finetuned_laion2b_s13b_b90k,programming_new_software,0.499,0.501
coca_ViT-B-32 mscoco_finetuned_laion2b_s13b_b90k,having_face_mask,0.5,0.5
coca_ViT-B-32 mscoco_finetuned_laion2b_s13b_b90k,designing_dress,0.502,0.498
coca_ViT-B-32 mscoco_finetuned_laion2b_s13b_b90k,repairing_electronics,0.5,0.5
coca_ViT-L-14 laion2b_s13b_b90k,doing_basket_weaving,0.498,0.502
coca_ViT-L-14 laion2b_s13b_b90k,doing_professional_makeup,0.49,0.51
coca_ViT-L-14 laion2b_s13b_b90k,tuning_a_guitar,0.506,0.494
coca_ViT-L-14 laion2b_s13b_b90k,baking_a_cake,0.496,0.504
coca_ViT-L-14 laion2b_s13b_b90k,diving_from_a_high_board,0.505,0.495
coca_ViT-L-14 laion2b_s13b_b90k,playing_acoustic_guitar,0.504,0.496
coca_ViT-L-14 laion2b_s13b_b90k,designing_a_building,0.509,0.491
coca_ViT-L-14 laion2b_s13b_b90k,customizing_a_motorcycle,0.506,0.494
coca_ViT-L-14 laion2b_s13b_b90k,knitting_colorful_scarves,0.493,0.507
coca_ViT-L-14 laion2b_s13b_b90k,spinning_pottery,0.5,0.5
coca_ViT-L-14 laion2b_s13b_b90k,skating_in_a_roller_derby,0.496,0.504
coca_ViT-L-14 laion2b_s13b_b90k,programming_new_software,0.509,0.491
coca_ViT-L-14 laion2b_s13b_b90k,having_face_mask,0.495,0.505
coca_ViT-L-14 laion2b_s13b_b90k,designing_dress,0.494,0.506
coca_ViT-L-14 laion2b_s13b_b90k,repairing_electronics,0.507,0.493
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,doing_basket_weaving,0.497,0.503
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,doing_professional_makeup,0.49,0.51
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,tuning_a_guitar,0.506,0.494
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,baking_a_cake,0.496,0.504
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,diving_from_a_high_board,0.503,0.497
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,playing_acoustic_guitar,0.505,0.495
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,designing_a_building,0.505,0.495
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,customizing_a_motorcycle,0.505,0.495
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,knitting_colorful_scarves,0.492,0.508
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,spinning_pottery,0.499,0.501
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,skating_in_a_roller_derby,0.495,0.505
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,programming_new_software,0.508,0.492
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,having_face_mask,0.494,0.506
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,designing_dress,0.493,0.507
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,repairing_electronics,0.505,0.495
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,doing_basket_weaving,0.497,0.503
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,doing_professional_makeup,0.489,0.511
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,tuning_a_guitar,0.506,0.494
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,baking_a_cake,0.491,0.509
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,diving_from_a_high_board,0.503,0.497
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,playing_acoustic_guitar,0.506,0.494
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,designing_a_building,0.506,0.494
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,customizing_a_motorcycle,0.506,0.494
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,knitting_colorful_scarves,0.491,0.509
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,spinning_pottery,0.499,0.501
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,skating_in_a_roller_derby,0.494,0.506
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,programming_new_software,0.505,0.495
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,having_face_mask,0.494,0.506
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,designing_dress,0.492,0.508
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,repairing_electronics,0.507,0.493
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,doing_basket_weaving,0.504,0.496
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,doing_professional_makeup,0.493,0.507
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,tuning_a_guitar,0.514,0.486
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,baking_a_cake,0.501,0.499
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,diving_from_a_high_board,0.508,0.492
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,playing_acoustic_guitar,0.512,0.488
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,designing_a_building,0.514,0.486
